Aroostook	262	82	71870	37855
Cumberland	77	466	281674	57461
Franklin	75	331	30768	41626
Kennebec	138	396	122151	46808
Androscoggin	100	427	107702	44921
Hancock	292	360	54418	47460
Oxford	45	394	57833	40674
Knox	199	422	39736	49755
Lincoln	170	435	34457	50181
Penobscot	268	275	153923	43734
Washington	358	322	32856	37236
Waldo	202	385	38786	42221
Somerset	113	271	52228	38642
Sagadahoc	135	450	35293	56733
Piscataquis	196	221	17535	36646
York	48	511	197131	57348
